label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,821_F,822_F,823_F,824_F,blank1
,1,1,4,150.057922,9.969,0.813294,[M+H]+,C12 PARENT,L-Methionine,L-Methionine,C5H11NO2S,0.011,2.745514,150.057922,719275.81,368371.28,332622.47,391758.78,240.23
,1,2,0,151.060822,9.955,0.475889,,C13-label-1,L-Methionine,L-Methionine,C5H11NO2S,0.025,5.757588,150.057922,24601.17,6677.06,4833.09,5095.52,0.00
,1,3,0,154.071060,9.982,0.121104,,C13-label-4,L-Methionine,L-Methionine,C5H11NO2S,0.002,4.456661,150.057922,458.25,380.76,358.47,365.38,0.00
,1,4,1,155.074127,9.943,0.555595,,C13-label-5,L-Methionine,L-Methionine,C5H11NO2S,0.037,6.297352,150.057922,2173.65,1527.07,336.73,1393.88,0.00
,1,5,2,156.071747,9.932,0.805999,,C13N15-label-5-1,L-Methionine,L-Methionine,C5H11NO2S,0.048,2.541956,150.057922,118220.84,21182.66,7926.72,16250.95,77.77
,1,6,1,151.054993,9.941,0.507438,,N15-label-1,L-Methionine,L-Methionine,C5H11NO2S,0.039,2.424349,150.057922,903.45,458.66,381.92,1001.51,0.00
,7,7,4,132.075882,13.022,0.792241,[M+H]+,C12 PARENT,Creatine,Creatine,C4H9N3O2,0.042,6.585194,132.075882,38424380.00,19995846.00,21536176.00,21543686.00,196556.20
,7,8,0,133.083282,13.010,0.246358,,D2-label-1,Creatine,Creatine,C4H9N3O2,0.030,1.834498,132.075882,10233.49,1807.42,4779.63,4761.78,171.68
,7,9,4,135.094574,13.022,0.783867,,D2-label-3,Creatine,Creatine,C4H9N3O2,0.042,7.454575,132.075882,641433.56,307061.94,305792.78,319587.62,95.69
,7,10,0,139.121735,13.014,0.075897,,D2-label-7,Creatine,Creatine,C4H9N3O2,0.034,7.458255,132.075882,2622.73,2994.30,5565.92,5899.47,259.08
